SumGroup,SumGroupDisplay,AnalyteName,SumFlag,ParamRequired,group1pcb40,AnalyteGroup,LastUpdateDate,CreateDate
PFC,Sum of PFCs,Perfluorodecanoate,1,,,organics            ,,
PFC,Sum of PFCs,Perfluorodecanoate-13C2(Surrogate),,,,organics            ,,
PFC,Sum of PFCs,Perfluorododecanoate,1,,,organics            ,,
PFC,Sum of PFCs,Perfluorododecanoate-13C2(Surrogate),,,,organics            ,,
PFC,Sum of PFCs,Perfluoroheptanoate,1,,,organics            ,,
PFC,Sum of PFCs,Perfluorohexanesulfonate,1,,,organics            ,,
PFC,Sum of PFCs,Perfluorohexanoate,1,,,organics            ,,
PFC,Sum of PFCs,Perfluorohexanoate-13C2(Surrogate),,,,organics            ,,
PFC,Sum of PFCs,Perfluorononanoate,1,,,organics            ,,
PFC,Sum of PFCs,Perfluorononanoate-13C5(Surrogate),,,,organics            ,,
PFC,Sum of PFCs,Perfluorooctanesulfonamide,1,,,organics            ,,
PFC,Sum of PFCs,Perfluorooctanesulfonate,1,,,organics            ,,
PFC,Sum of PFCs,Perfluorooctanesulfonate-13C4(Surrogate),,,,organics            ,,
PFC,Sum of PFCs,Perfluorooctanoate,1,,,organics            ,,
PFC,Sum of PFCs,Perfluorooctanoate-13C2(Surrogate),,,,organics            ,,
PFC,Sum of PFCs,Perfluorooctanoate-13C8(Surrogate),,,,organics            ,,
PFC,Sum of PFCs,Perfluoropentanoate,1,,,organics            ,,
PFC,Sum of PFCs,Perfluoroundecanoate,1,,,organics            ,,
microcystin,Sum of Microcystin,Saxitoxins,1,,,,,
SELENIUM,Selenium,Selenium,1,,,metals              ,,
DIOXIN,Sum of Dioxins,Sum of Dioxin-Furan TEQs (WHO 2005;ND=0 SFEI),,,,organics            ,,
DIOXIN,Sum of Dioxins,"TCDD, 2,3,7,8-",1,,,organics            ,,
DIOXIN,Sum of Dioxins,"TCDF, 2,3,7,8-",1,,,organics            ,,
Tedion,Tedion,Tedion,,,,,,
